SampleID,16s_old_SampleID,Cruise,Station,Line,PointID,Date,Layer,Depth,Latitude,Longitude,Richness,Shannon,Evenness,PD,Richness_nc,Shannon_nc,Evenness_nc,PD_nc,Temperature,Salinity,Chla,DIN,P,km to Land,layer.dis,MEM1,MEM2
KH154StBS1C,S16F02KH154StBS1C,KH-15-4,StBS1,BS,StBS1_Chla,11/23/2015,Chla,30,34.42,139.79,493,4.811797305,32.53842633,19.93700794,477,4.776691315,31.60589477,18.95674485,23.88,34.72,0.496395627,0.16,0.01,41.01,25,-0.6288009,0.94673577
KH154StBS1S,S16F02KH154StBS1S,KH-15-4,StBS1,BS,StBS1_Surface,11/23/2015,Surface,5,34.42,139.79,440,5.658006848,206.2396786,19.67634109,422,5.629023407,202.9160307,18.36066289,23.87,34.72,0.414825123,0.21,0.02,41.01,25,-0.6288009,0.94673577
KH154StBS3C,S16F02KH154StBS3C,KH-15-4,StBS3,BS,StBS3_Chla,11/24/2015,Chla,70,34,140.11,620,4.985233694,34.23251526,22.58289325,599,4.938902439,34.19883651,21.37961293,24.34,34.73,0.370128956,0.15,0.01,47.92,65,-0.6436211,0.9673967
KH154StBS3S,S16F02KH154StBS3S,KH-15-4,StBS3,BS,StBS3_Surface,11/24/2015,Surface,5,34,140.11,499,5.776681138,230.1653716,21.28407822,491,5.749050221,221.6856308,21.15645675,24.33,34.73,0.333254618,0.17,0.01,47.92,65,-0.6436211,0.9673967
KH154StBS5C,S16F02KH154StBS5C,KH-15-4,StBS5,BS,StBS5_Chla,11/24/2015,Chla,70,33.67,140.36,695,5.522388755,75.03775597,25.00314686,670,5.465973291,69.78956867,22.81221678,23.97,34.81,0.353367893,0.07,0.03,73.27,65,-0.5126193,0.76804324
KH154StBS5S,S16F02KH154StBS5S,KH-15-4,StBS5,BS,StBS5_Surface,11/24/2015,Surface,5,33.67,140.36,294,5.294371502,158.0721426,16.7833774,283,5.261555224,153.3325544,15.96607889,23.96,34.81,0.430468781,0.1,0.03,73.27,65,-0.5126193,0.76804324
KH154StOK1bC,S16F02KH154StOK1bC,KH-15-4,StOK1b,OK,StOK1b_Chla,11/13/2015,Chla,71,28.75,126.92,625,5.00714017,16.7394682,23.5110052,595,4.893764341,15.3803867,22.42616029,24.88,34.65,0.558785888,0.12,0.02,161.77,66,-0.9198092,-1.9490171
KH154StOK1bS,S16F02KH154StOK1bS,KH-15-4,StOK1b,OK,StOK1b_Surface,11/13/2015,Surface,5,28.75,126.92,622,5.805192316,188.5801349,23.99109973,602,5.787719799,186.5507991,23.27152717,24.54,34.45,0.520794147,0.06,0.02,161.77,66,-0.9198092,-1.9490171
KH154StOK1C,S16F02KH154StOK1C,KH-15-4,StOK1,OK,StOK1_Chla,11/13/2015,Chla,25,29,126.67,531,5.424522442,63.71886429,22.25625257,509,5.376996422,62.40481319,20.99533661,23.95,34.13,0.630299755,0.37,0.04,198.11,20,-0.7264542,-1.5349188
KH154StOK1S,S16F02KH154StOK1S,KH-15-4,StOK1,OK,StOK1_Surface,11/13/2015,Surface,5,29,126.67,415,5.537613032,171.5438335,21.84022023,400,5.494085811,159.5007979,20.18318237,23.89,34.06,0.835902121,0.24,0.04,198.11,20,-0.7264542,-1.5349188
KH154StOK2C,S16F02KH154StOK2C,KH-15-4,StOK2,OK,StOK2_Chla,11/12/2015,Chla,94,28.5,127.17,755,5.676054425,124.5174213,26.22820479,736,5.638697349,117.5558445,25.52744121,25.18,34.85,0.307369951,0.22,0.03,125.71,89,-0.8992851,-1.9066885
KH154StOK2S,S16F02KH154StOK2S,KH-15-4,StOK2,OK,StOK2_Surface,11/12/2015,Surface,5,28.5,127.17,792,5.924797681,184.9725792,24.88505078,770,5.925715662,182.7108261,24.38786693,26,34.8,0.240325701,0.03,0,125.71,89,-0.8992851,-1.9066885
